function_id	name	description
RF_CHEMOTAXIS_RECEPTION	chemoreceptor signal reception	Detection of a chemoeffector by a methyl-accepting chemoreceptor and its conversion into a conformational signal at the receptor's conserved cytoplasmic tip. The function is satisfied by any chemoreceptor; which chemoeffector is detected is a separate, narrower claim needing its own evidence.
RF_CHEMOTAXIS_KINASE_CORE	chemotaxis kinase core	Autophosphorylation of the CheA histidine kinase under receptor control, which requires the CheW coupling protein to build the receptor-CheW-CheA array. CheV, a CheW-response regulator hybrid found alongside CheW in some Firmicutes, is not accepted as a substitute because it does not replace CheW in the systems where both occur.
RF_CHEMOTAXIS_RESPONSE_REGULATOR	chemotaxis response regulator	Phosphotransfer from CheA to the CheY response regulator, the diffusible messenger that carries the signal to the flagellar switch.
RF_CHEMOTAXIS_ADAPTATION	chemoreceptor adaptation	Reversible methylation of the chemoreceptor, which resets sensitivity so that the system responds to gradients rather than to absolute concentrations. Both the methyltransferase and the methylesterase are needed for the cycle to run in both directions.
RF_CHEMOTAXIS_SIGNAL_TERMINATION	chemotaxis signal termination	Dephosphorylation of CheY-P, which sets the response's decay time. It is curated as accessory because CheY-P also autodephosphorylates, and because the phosphatases are distributed unevenly: a genome without one still transduces a chemotactic signal, more slowly.
RF_ASPARTATE_RECEPTION	L-aspartate chemoreceptor signal reception	Detection of L-aspartate by the Tar chemoreceptor and its conversion into a signal at the receptor's cytoplasmic tip. This is a strictly narrower function than RF_CHEMOTAXIS_RECEPTION and takes strictly narrower evidence: a generic methyl-accepting chemotaxis protein accession is deliberately not accepted.
RF_PHO_SIGNAL_RECEPTION	phosphate-limitation signal reception	Autophosphorylation of the PhoR sensor histidine kinase in response to phosphate limitation. The same sensor serves both curated circuits, which differ in their cognate response regulator.
RF_PHO_RESPONSE_PHOB	PhoB transcriptional response	Phosphotransfer from PhoR to the PhoB response regulator, which activates Pho box promoters. This is the enterobacterial and pseudomonad form of the regulon's output.
RF_PHO_RESPONSE_PHOP	PhoP transcriptional response	Phosphotransfer from PhoR to the PhoP response regulator of the Bacillus-type phosphate regulon. K07660, the response regulator of the magnesium-sensing PhoP/PhoQ system, is a different protein that happens to share the gene name and is deliberately not accepted.
RF_PHO_PHOSPHATE_STATUS	phosphate status transduction complex	The PstSCAB transporter with PhoU, the complex through which the cell's phosphate status reaches PhoR. It is curated as accessory rather than required because it is independently a transport capability, and requiring it here would curate the same biology twice.
