gift_id	facet	value	notes
purine_core_biosynthesis	substrate_class	nucleotide	
purine_core_biosynthesis	physiological_role	biosynthesis	
adenylate_biosynthesis	substrate_class	nucleotide	
adenylate_biosynthesis	physiological_role	biosynthesis	
guanylate_biosynthesis	substrate_class	nucleotide	
guanylate_biosynthesis	physiological_role	biosynthesis	
pyrimidine_core_biosynthesis	substrate_class	nucleotide	
pyrimidine_core_biosynthesis	physiological_role	biosynthesis	
cytidylate_biosynthesis	substrate_class	nucleotide	
cytidylate_biosynthesis	physiological_role	biosynthesis	
serine_biosynthesis	substrate_class	amino_acid	
serine_biosynthesis	physiological_role	biosynthesis	
glycine_biosynthesis	substrate_class	amino_acid	
glycine_biosynthesis	physiological_role	biosynthesis	
aspartate_semialdehyde_biosynthesis	substrate_class	amino_acid	
aspartate_semialdehyde_biosynthesis	physiological_role	biosynthesis	
homoserine_biosynthesis	substrate_class	amino_acid	
homoserine_biosynthesis	physiological_role	biosynthesis	
threonine_biosynthesis	substrate_class	amino_acid	
threonine_biosynthesis	physiological_role	biosynthesis	
methionine_biosynthesis_transsulfuration	substrate_class	amino_acid	
methionine_biosynthesis_transsulfuration	physiological_role	biosynthesis	
methionine_biosynthesis_sulfhydrylation	substrate_class	amino_acid	
methionine_biosynthesis_sulfhydrylation	physiological_role	biosynthesis	
cysteine_biosynthesis_sulfide	substrate_class	amino_acid	
cysteine_biosynthesis_sulfide	physiological_role	biosynthesis	
cysteine_biosynthesis_homocysteine	substrate_class	amino_acid	
cysteine_biosynthesis_homocysteine	physiological_role	biosynthesis	
xylose_degradation_isomerase	substrate_class	monosaccharide	
xylose_degradation_isomerase	physiological_role	carbon_acquisition	
xylose_degradation_isomerase	physiological_role	fibre_degradation	
arabinose_degradation	substrate_class	monosaccharide	
arabinose_degradation	physiological_role	carbon_acquisition	
arabinose_degradation	physiological_role	fibre_degradation	
fucose_degradation_isomerase	substrate_class	monosaccharide	
fucose_degradation_isomerase	physiological_role	carbon_acquisition	
fucose_degradation_isomerase	physiological_role	host_glycan_foraging	
rhamnose_degradation	substrate_class	monosaccharide	
rhamnose_degradation	physiological_role	carbon_acquisition	
rhamnose_degradation	physiological_role	fibre_degradation	
galactose_degradation_leloir	substrate_class	monosaccharide	
galactose_degradation_leloir	physiological_role	carbon_acquisition	
galactose_degradation_leloir	physiological_role	host_glycan_foraging	
galactose_degradation_leloir	physiological_role	fibre_degradation	
glcnac_degradation	substrate_class	amino_sugar	
glcnac_degradation	physiological_role	carbon_acquisition	
glcnac_degradation	physiological_role	host_glycan_foraging	
neuac_degradation	substrate_class	amino_sugar	
neuac_degradation	physiological_role	carbon_acquisition	
neuac_degradation	physiological_role	host_glycan_foraging	
galacturonate_degradation	substrate_class	uronate	
galacturonate_degradation	physiological_role	carbon_acquisition	
galacturonate_degradation	physiological_role	fibre_degradation	
glucuronate_degradation	substrate_class	uronate	
glucuronate_degradation	physiological_role	carbon_acquisition	
glucuronate_degradation	physiological_role	fibre_degradation	
xylose_uptake_abc	substrate_class	monosaccharide	
xylose_uptake_abc	physiological_role	nutrient_uptake	
xylose_uptake_abc	physiological_role	fibre_degradation	
arabinose_uptake_abc	substrate_class	monosaccharide	
arabinose_uptake_abc	physiological_role	nutrient_uptake	
arabinose_uptake_abc	physiological_role	fibre_degradation	
xylan_degradation	substrate_class	polysaccharide	
xylan_degradation	physiological_role	carbon_acquisition	
xylan_degradation	physiological_role	fibre_degradation	
arabinoxylan_debranching	substrate_class	polysaccharide	
arabinoxylan_debranching	physiological_role	carbon_acquisition	
arabinoxylan_debranching	physiological_role	fibre_degradation	
starch_degradation	substrate_class	polysaccharide	
starch_degradation	physiological_role	carbon_acquisition	
starch_degradation	physiological_role	fibre_degradation	
collagen_cleavage	substrate_class	protein	
collagen_cleavage	physiological_role	host_tissue_degradation	
flagellar_apparatus	structural_class	cell_surface_appendage	
type_iva_pilus	structural_class	cell_surface_appendage	
chemotaxis_signal_transduction	regulatory_class	chemosensory_pathway	
aspartate_chemoreception	regulatory_class	chemosensory_pathway	
phosphate_starvation_response	regulatory_class	two_component_system	
type_i_restriction_modification	defense_class	restriction_modification	
type_i_e_crispr_cas_machinery	defense_class	crispr_cas	
pyruvate_to_acetyl_coa	substrate_class	central_metabolite	
pyruvate_to_acetyl_coa	physiological_role	central_carbon_metabolism	
acetate_interconversion	substrate_class	short_chain_fatty_acid	
acetate_interconversion	physiological_role	fermentative_end_product	
butyrate_formation	substrate_class	short_chain_fatty_acid	
butyrate_formation	physiological_role	fermentative_end_product	
propanediol_formation	substrate_class	central_metabolite	
propanediol_formation	physiological_role	central_carbon_metabolism	
propionate_formation_propanediol	substrate_class	short_chain_fatty_acid	
propionate_formation_propanediol	physiological_role	fermentative_end_product	
propionate_formation_acrylate	substrate_class	short_chain_fatty_acid	
propionate_formation_acrylate	physiological_role	fermentative_end_product	
lactate_formation	substrate_class	organic_acid	
lactate_formation	physiological_role	fermentative_end_product	
lactate_racemisation	substrate_class	organic_acid	
lactate_racemisation	physiological_role	central_carbon_metabolism	
malolactic_fermentation	substrate_class	organic_acid	
malolactic_fermentation	physiological_role	fermentative_end_product	
malolactic_fermentation	physiological_role	carbon_acquisition	
citrate_fermentation	substrate_class	organic_acid	
citrate_fermentation	physiological_role	carbon_acquisition	
citrate_fermentation	physiological_role	fermentative_end_product	
ethanol_formation	substrate_class	neutral_fermentation_product	
ethanol_formation	physiological_role	fermentative_end_product	
acetoin_formation	substrate_class	neutral_fermentation_product	
acetoin_formation	physiological_role	fermentative_end_product	
riboflavin_biosynthesis	substrate_class	cofactor	
riboflavin_biosynthesis	physiological_role	biosynthesis	
riboflavin_biosynthesis	physiological_role	vitamin_biosynthesis	
paba_biosynthesis	substrate_class	cofactor	
paba_biosynthesis	physiological_role	biosynthesis	
paba_biosynthesis	physiological_role	vitamin_biosynthesis	
folate_biosynthesis	substrate_class	cofactor	
folate_biosynthesis	physiological_role	biosynthesis	
folate_biosynthesis	physiological_role	vitamin_biosynthesis	
hmp_phosphate_biosynthesis	substrate_class	cofactor	
hmp_phosphate_biosynthesis	physiological_role	biosynthesis	
hmp_phosphate_biosynthesis	physiological_role	vitamin_biosynthesis	
thiazole_phosphate_biosynthesis	substrate_class	cofactor	
thiazole_phosphate_biosynthesis	physiological_role	biosynthesis	
thiazole_phosphate_biosynthesis	physiological_role	vitamin_biosynthesis	
thiamine_phosphate_biosynthesis	substrate_class	cofactor	
thiamine_phosphate_biosynthesis	physiological_role	biosynthesis	
thiamine_phosphate_biosynthesis	physiological_role	vitamin_biosynthesis	
thiamine_precursor_salvage	substrate_class	cofactor	
thiamine_precursor_salvage	physiological_role	biosynthesis	
thiamine_precursor_salvage	physiological_role	vitamin_biosynthesis	
pantothenate_biosynthesis	substrate_class	cofactor	
pantothenate_biosynthesis	physiological_role	biosynthesis	
pantothenate_biosynthesis	physiological_role	vitamin_biosynthesis	
plp_biosynthesis_r5p	substrate_class	cofactor	
plp_biosynthesis_r5p	physiological_role	biosynthesis	
plp_biosynthesis_r5p	physiological_role	vitamin_biosynthesis	
plp_biosynthesis_dxp	substrate_class	cofactor	
plp_biosynthesis_dxp	physiological_role	biosynthesis	
plp_biosynthesis_dxp	physiological_role	vitamin_biosynthesis	
biotin_biosynthesis	substrate_class	cofactor	
biotin_biosynthesis	physiological_role	biosynthesis	
biotin_biosynthesis	physiological_role	vitamin_biosynthesis	
quinolinate_biosynthesis_aspartate	substrate_class	cofactor	
quinolinate_biosynthesis_aspartate	physiological_role	biosynthesis	
quinolinate_biosynthesis_aspartate	physiological_role	vitamin_biosynthesis	
namn_biosynthesis_quinolinate	substrate_class	cofactor	
namn_biosynthesis_quinolinate	physiological_role	biosynthesis	
namn_biosynthesis_quinolinate	physiological_role	vitamin_biosynthesis	
nad_biosynthesis_namn	substrate_class	cofactor	
nad_biosynthesis_namn	physiological_role	biosynthesis	
nad_biosynthesis_namn	physiological_role	vitamin_biosynthesis	
namn_salvage_nicotinate	substrate_class	cofactor	
namn_salvage_nicotinate	physiological_role	biosynthesis	
namn_salvage_nicotinate	physiological_role	vitamin_biosynthesis	
corrin_ring_biosynthesis	substrate_class	cofactor	
corrin_ring_biosynthesis	physiological_role	biosynthesis	
corrin_ring_biosynthesis	physiological_role	vitamin_biosynthesis	
cobinamide_biosynthesis	substrate_class	cofactor	
cobinamide_biosynthesis	physiological_role	biosynthesis	
cobinamide_biosynthesis	physiological_role	vitamin_biosynthesis	
cobamide_nucleotide_loop_assembly	substrate_class	cofactor	
cobamide_nucleotide_loop_assembly	physiological_role	biosynthesis	
cobamide_nucleotide_loop_assembly	physiological_role	vitamin_biosynthesis	
dmb_biosynthesis_aerobic	substrate_class	cofactor	
dmb_biosynthesis_aerobic	physiological_role	biosynthesis	
dmb_biosynthesis_aerobic	physiological_role	vitamin_biosynthesis	
menaquinone_biosynthesis	substrate_class	cofactor	
menaquinone_biosynthesis	physiological_role	biosynthesis	
menaquinone_biosynthesis	physiological_role	vitamin_biosynthesis	
acetyl_coa_to_isocitrate	substrate_class	central_metabolite	The isocitrate branchpoint is shared central metabolism.
acetyl_coa_to_isocitrate	physiological_role	central_carbon_metabolism	Upper segment shared by both derived central cycles.
acetyl_coa_to_isocitrate	metabolic_cycle	citric_acid_cycle_oxidative	Membership is derived from declared anchors.
acetyl_coa_to_isocitrate	metabolic_cycle	glyoxylate_cycle	Membership is derived from declared anchors.
oxoglutarate_to_succinate	substrate_class	central_metabolite	
oxoglutarate_to_succinate	physiological_role	central_carbon_metabolism	
oxoglutarate_to_succinate	metabolic_cycle	citric_acid_cycle_oxidative	
succinate_fumarate_interconversion	substrate_class	central_metabolite	
succinate_fumarate_interconversion	physiological_role	central_carbon_metabolism	
succinate_fumarate_interconversion	metabolic_cycle	citric_acid_cycle_oxidative	
fumarate_oxaloacetate_interconversion	substrate_class	central_metabolite	
fumarate_oxaloacetate_interconversion	physiological_role	central_carbon_metabolism	
fumarate_oxaloacetate_interconversion	metabolic_cycle	citric_acid_cycle_oxidative	
